setup_id,setup_params,true_mean,pred_mean,relative_error,mse,mae,r2,mean_uncertainty,n_samples
197,"[0.2777777777777778, 0.4111111111111111, 0.00075]",0.17432562185556078,0.20610471210893877,0.1822972899344422,0.009229269362299643,0.08021237944622366,-0.12286975222196284,0.12748638895975548,500
198,"[0.2777777777777778, 0.4111111111111111, 0.000875]",0.172259946154771,0.20625386219903363,0.19734079122672019,0.008893111445012532,0.07735827553687787,-0.14934831364711454,0.1274863888076498,500
199,"[0.2777777777777778, 0.4111111111111111, 0.0173205080756887]",0.27277036735683863,0.22587665428818218,0.1719164431382152,0.010230983512858565,0.08779945032228452,-0.27378366584021174,0.12748637111520988,500
200,"[0.2777777777777778, 0.4111111111111111, 0.0720843424240426]",0.3706439493038853,0.2912209009041274,0.214283941248966,0.020494815744611747,0.12350696969214327,-0.4446402841810295,0.12748634538750833,500
201,"[0.2777777777777778, 0.4111111111111111, 0.22525]",0.4667881528820873,0.4739782739191822,0.015403391964142699,0.01942307497830732,0.11947498893495175,-0.0026687746648248467,0.12748654447125826,500
202,"[0.2777777777777778, 0.4111111111111111, 0.3]",0.4841850658593192,0.5631700277958667,0.16312969125776336,0.02847837948057802,0.12551522448052463,-0.2805167654414489,0.12748678662146057,500
203,"[0.2777777777777778, 0.4555555555555556, 0.0005]",0.11993445518570962,0.21004167045835886,0.7513037652114837,0.010969647221846637,0.09052981169703408,-2.8485439819368703,0.127486444323577,500
204,"[0.2777777777777778, 0.4555555555555556, 0.0041617914502878]",0.22592245757605883,0.2144109226561089,0.05095347551510997,0.00859638967933175,0.07780387875665164,-0.015656593234589344,0.1274864398985092,500
205,"[0.2777777777777778, 0.4555555555555556, 0.06]",0.3553797665642005,0.28103711334347903,0.20919213225767572,0.018781073045786335,0.117705598293638,-0.41698572339859563,0.12748640069629433,500
206,"[0.2777777777777778, 0.4555555555555556, 0.1125]",0.4024795930217369,0.3436801511832909,0.14609297315190994,0.020039128012052237,0.12116407815880176,-0.2085047476381845,0.12748641224346943,500
207,"[0.2777777777777778, 0.5, 0.0720843424240426]",0.3638393844468218,0.2996914179633467,0.17630846868851324,0.01802741998073342,0.1128330832756917,-0.2957753038698321,0.12748647094791668,500
208,"[0.2777777777777778, 0.5, 0.22525]",0.46399048370238116,0.4824487909784016,0.0397816496815131,0.021479271610136387,0.11834654810690254,-0.016117893894318724,0.12748666468813363,500
209,"[0.279785, 0.389671, 0.143207]",0.42997524372949375,0.37429125448103484,0.1295051023645441,0.022642694560518335,0.1321261512475068,-0.158668947815779,0.12748636883057776,300
210,"[0.291377, 0.35379, 0.072226]",0.36387123390295634,0.28762035502410743,0.20955456128098116,0.019041692372776687,0.11638918702828618,-0.4395538353453816,0.1274863004871844,300
211,"[0.294546, 0.419583, 0.026984]",0.29946768460874074,0.2403016587198566,0.19757064602973448,0.011764711655388267,0.09327715401239729,-0.4235938056693367,0.12748636959938206,300
212,"[0.296408, 0.228293, 0.002994]",0.1835939401376607,0.19367988507049774,0.054936150811475515,0.007130934193938744,0.07142977010865556,-0.01447194143476449,0.12748634636216868,300
213,"[0.314259, 0.102231, 0.021127]",0.23224111541833792,0.20552530960825982,0.11503477586906578,0.010196342862911614,0.08562720240003013,-0.0752677149802603,0.1274864818653834,300
214,"[0.3222222222222222, 0.1, 0.00075]",0.1263227285232959,0.18199007174255727,0.4406755574650199,0.008894318452926,0.08082060321546025,-0.5347030674784199,0.12748650596455696,500
215,"[0.3222222222222222, 0.1, 0.0041617914502878]",0.17737592069709002,0.18606102376011785,0.04896438332357299,0.008253420692755135,0.07737841743740696,-0.009223662316740322,0.12748650233276365,500
216,"[0.3222222222222222, 0.1, 0.07575]",0.3633883266582276,0.27148012579943154,0.2529200626084958,0.02963065682381555,0.14853620266236708,-0.3987585459709815,0.12748647182225942,500
217,"[0.3222222222222222, 0.1, 0.1505]",0.42819287555437063,0.36067187967611597,0.15768827123513954,0.03578388755954131,0.1648906793053712,-0.14600844501155374,0.12748653305883528,500
218,"[0.3222222222222222, 0.1, 0.2999999999999999]",0.5145501713183158,0.5390553874294852,0.04762454081424131,0.03530997756408448,0.1571138570931002,-0.017300914792499178,0.12748694084930273,500
219,"[0.3222222222222222, 0.1444444444444444, 0.0005]",0.09393244848214012,0.18592703009197734,0.979369465000521,0.010656783552386521,0.09212672647787144,-3.8577255196082305,0.12748643564553316,500
220,"[0.3222222222222222, 0.1444444444444444, 0.0720843424240426]",0.3482835414534731,0.2713415190673555,0.22091776101690594,0.023290010445677405,0.13033175212571518,-0.340823071118328,0.1274863994239854,500
221,"[0.3222222222222222, 0.1444444444444444, 0.07575]",0.3515674454363408,0.2757153843290411,0.21575393266466447,0.02459967560187831,0.13440344532699058,-0.30528983885652217,0.1274863999167164,500
222,"[0.3222222222222222, 0.1444444444444444, 0.2999999999999999]",0.4938819770908631,0.5432906459590948,0.10004144747061128,0.0315125421962379,0.1407989029744152,-0.08397334850913496,0.1274868650324379,500
223,"[0.3222222222222222, 0.1888888888888888, 0.001]",0.1285465163843887,0.1907588889819662,0.48396774574480356,0.0077328190222867525,0.07100597928737686,-1.0020555883670434,0.12748638242843313,1500
224,"[0.3222222222222222, 0.1888888888888888, 0.04]",0.29802510560666645,0.23729371709154068,0.20377943111103114,0.016555511099260456,0.10978489073758274,-0.28664346664554397,0.12748635153104956,500
225,"[0.3222222222222222, 0.1888888888888888, 0.0720843424240426]",0.3542027556407905,0.27557677759696514,0.22198013587381965,0.024129231440144366,0.1319777095745846,-0.34445756973293373,0.12748634552242463,500
226,"[0.3222222222222222, 0.1888888888888888, 0.07575]",0.36034966959896564,0.27995064285865073,0.22311391210279763,0.02484160034545997,0.13237997695980738,-0.3517327948493201,0.12748634595121566,500
227,"[0.3222222222222222, 0.1888888888888888, 0.22525]",0.4628383645326744,0.4583341506120198,0.009731720981870766,0.024129617350071287,0.13300433035068093,-0.0008414976086850157,0.12748655831500957,500
228,"[0.3222222222222222, 0.1888888888888888, 0.2999999999999999]",0.48057971516782716,0.5475259044887045,0.13930298307424133,0.03789363331766553,0.14660489592321824,-0.13413784225379444,0.12748680715554572,500
229,"[0.3222222222222222, 0.2333333333333333, 0.000625]",0.1233672795856708,0.19454669724129145,0.5769715610570421,0.0089042903262965,0.07931518961301254,-1.3201664514461813,0.12748634813616969,500
230,"[0.3222222222222222, 0.2333333333333333, 0.0041617914502878]",0.17939629704322074,0.1987667993489467,0.1079760371045941,0.007664702327812915,0.07106745276725164,-0.05147363767638824,0.12748634418247168,500
231,"[0.3222222222222222, 0.2333333333333333, 0.0173205080756887]",0.24680996762774332,0.2144677895106297,0.13104080486524916,0.009322544101536597,0.08284588086838968,-0.1263834948504905,0.12748633134233225,500
